"term","estimate ~ condition","p ~ condition","stars ~ condition","estimate ~ CWV","p ~ CWV","stars ~ CWV","estimate ~ condition+CWV (condition)","p ~ condition+CWV (condition)","stars ~ condition+CWV (condition)","estimate ~ condition+CWV (CWV)","p ~ condition+CWV (CWV)","stars ~ condition+CWV (CWV)"
"bell_behav",0.144,0.134,"",0.295,0,"***",-0.012,0.893,"",0.296,0,"***"
"harshlanguage",0.198,0.113,"",0.316,0,"***",0.034,0.775,"",0.312,0,"***"
"showdisgust",0.283,0.029,"*",0.351,0,"***",0.105,0.386,"",0.338,0,"***"
"aggressivegestures",0.225,0.065,".",0.253,0,"***",0.098,0.411,"",0.241,0,"***"
"actintimidate",0.073,0.558,"",0.291,0,"***",-0.085,0.478,"",0.301,0,"***"
"readyupset",0.069,0.613,"",0.354,0,"***",-0.125,0.33,"",0.369,0,"***"
"actcold",0.026,0.832,"",0.261,0,"***",-0.119,0.31,"",0.276,0,"***"
"threats",0.086,0.487,"",0.288,0,"***",-0.07,0.554,"",0.296,0,"***"
"blame",0.193,0.115,"",0.244,0,"***",0.069,0.567,"",0.236,0,"***"
"warm_behav",-0.12,0.221,"",-0.255,0,"***",0.015,0.868,"",-0.256,0,"***"
"apologize",-0.009,0.952,"",-0.142,0.048,"*",0.07,0.646,"",-0.15,0.043,"*"
"actnice",-0.249,0.037,"*",-0.27,0,"***",-0.114,0.321,"",-0.256,0,"***"
"polite",-0.096,0.395,"",-0.296,0,"***",0.064,0.543,"",-0.304,0,"***"
"showconcern",-0.125,0.287,"",-0.311,0,"***",0.041,0.709,"",-0.316,0,"***"
